txid,vout_index,output_address,value_rvn,script_type,asset_name,asset_amount,asset_type
0676ed5af5a5f554b58aa15d1ecb8ff395e12ef64018cacd990e67c8fc02bdad,1,RSznW66WBDpZ1Xo6yXQRdSAn8bmXJZWvFs,993.33723000,pubkeyhash,,,
06802f7cb39cc5638c3c3012764ebe1d265c97203771f4809e2e0cabbaa2bd54,0,,0.00000000,nulldata,,,
06802f7cb39cc5638c3c3012764ebe1d265c97203771f4809e2e0cabbaa2bd54,1,RAfUaKQ9M6kHMZ5gZ5duTkZRBhtToQN7X7,991.44939000,pubkeyhash,,,
06810907188f9f8eabc1671f25c12fad99b7100a35ca8306a361fbff11161cad,0,,0.00000000,nulldata,,,
06810907188f9f8eabc1671f25c12fad99b7100a35ca8306a361fbff11161cad,1,RUdHpVLQ2cYNbNhsg46vw9RoG1HJCGPJR8,994.60604000,pubkeyhash,,,
06871977d118ecdc8dc6b118efd2a7e3cae71f70522e7c7e273ede0ea8e4e4f9,0,,0.00000000,nulldata,,,
06871977d118ecdc8dc6b118efd2a7e3cae71f70522e7c7e273ede0ea8e4e4f9,1,RP54TPdgqic4SyRL8MhDVnseQrUfhVduHy,992.48991000,pubkeyhash,,,
06a07b8358f5444949c529d5de8d2524f8909640dc5ae2ef098cef28d38eeebc,0,,0.00000000,nulldata,,,
06a07b8358f5444949c529d5de8d2524f8909640dc5ae2ef098cef28d38eeebc,1,RP4CAmgzUKYQJrZwiiCW8D1aGPTvvTRxwX,994.72748000,pubkeyhash,,,
06bbf8d282ce637087ae51b252670fe8f19280045377c79d846950d116544a9f,0,,0.00000000,nulldata,,,
06bbf8d282ce637087ae51b252670fe8f19280045377c79d846950d116544a9f,1,RK6jmAhdArmsq2vAcgGrWnbKjbvn6GQx8k,990.59103000,pubkeyhash,,,
06c7f8e53215a10d24315c1caa186cd6aba5367712db63c558e4dc5d364f9900,0,,0.00000000,nulldata,,,
06c7f8e53215a10d24315c1caa186cd6aba5367712db63c558e4dc5d364f9900,1,RNaLA8VynKmEeg1EdsarJXrTuNp1NhKnwd,990.86427000,pubkeyhash,,,
07103efb68216661cb5cbd4205d205fb94daa28209eaf45a3811d168ed3d486b,0,,0.00000000,nulldata,,,
07103efb68216661cb5cbd4205d205fb94daa28209eaf45a3811d168ed3d486b,1,R9as2M8gHRuh2NEg2FkihTqkdgDBJ8Fm3r,992.89563000,pubkeyhash,,,
074ed2bb1e57a52fc87fead5244b25143c0e06efead91b6ae3a500b12453ab82,0,,0.00000000,nulldata,,,
074ed2bb1e57a52fc87fead5244b25143c0e06efead91b6ae3a500b12453ab82,1,RFrg1b1SPc54Ho3HakN8YwUMqa7RZLJ8aT,989.38799000,pubkeyhash,,,
0766721ade71f6dfd7d635ccc015af1a5750443b8dac8f00c3db981531b0efda,0,,0.00000000,nulldata,,,
0766721ade71f6dfd7d635ccc015af1a5750443b8dac8f00c3db981531b0efda,1,RM4x3RChppY2xrY9Q1qZAxyXi8pEtTYjRh,989.81271000,pubkeyhash,,,
0766cc8bb5259e99db50e6263703147bdf5e829bff2abb4cc4c1f8168af8aeda,0,RX1r2eyM1UW7y2xHcrTejDfyCUk1yBmz4i,306.19374236,pubkeyhash,,,
0766cc8bb5259e99db50e6263703147bdf5e829bff2abb4cc4c1f8168af8aeda,1,RFvV5rNdcs3XxbQQ79MhzWdEr7q95imhM6,0.00758450,pubkeyhash,,,
076a0244482df40f32c904d2a34238352187cfd8e8d108089c532edf47358964,0,,0.00000000,nulldata,,,
076a0244482df40f32c904d2a34238352187cfd8e8d108089c532edf47358964,1,RRWf25ZSUba81K98c36J7spauSsJjYn6MG,989.99763000,pubkeyhash,,,
0771130a3ae056fd5e006a7cd763a6c5c2f6d445a06730a23da44ea2a95c6cd1,0,,0.00000000,nulldata,,,
